Year,USD_INR,Oil_Price,Inflation,GDP_Growth,Forex_Reserves,Exports,Imports,Trade_Balance,Exchange_Volatility,Yearly_Change,Inflation_N,GDP_N,Forex_N,Trade_N,Volatility_N,RSI
1991,22.74243333,20.04,13.87024618,1.056831435,7615987475,22943398073,22941358805,2039268,0,,0,0.441870821,0,0.999632806,1,34.41136432
1992,25.91808333,19.32,11.78781704,5.48239602,9538786025,25486029047,27639649994,-2153620947,13.96354539,13.96354539,0.197535075,0.727994427,0.003025994,0.982100583,0.208979557,34.05603817
1993,30.49329167,17.01,6.326890488,4.750776218,14674627090,27466541463,27419354119,47187344,17.65257207,17.65257207,0.715547676,0.680693412,0.011108498,1,0,45.08442344
1994,31.3737425,15.86,10.24793556,6.65892407,24220928469,32361214431,33349501148,-988286717,2.887359094,2.887359094,0.343605161,0.804059852,0.026131941,0.991578375,0.836434086,45.74125381
1995,32.42707667,17.02,10.22488616,7.574491838,22864636916,39068855118,43318425768,-4249570650,3.357374945,3.357374945,0.345791581,0.863253554,0.023997484,0.965053992,0.809808172,45.51639856
1996,35.43317333,20.64,8.977152338,7.549522249,24889364657,40803004618,45357266003,-4554261385,9.2703289,9.2703289,0.464149123,0.861639209,0.027183889,0.962575909,0.47484543,45.17152873
1997,36.31328583,19.11,7.164252115,4.04982085,28385372946,44459225643,49607467421,-5148241778,2.483865873,2.483865873,0.636117222,0.635374928,0.032685714,0.957745001,0.85929156,51.14849543
1998,41.259365,12.76,13.23083898,6.184415822,30646563663,46426465025,53431564328,-7005099303,13.62057731,13.62057731,0.060652892,0.77338173,0.036244251,0.942642973,0.228408345,31.65563128
1999,43.05542833,17.9,4.66982038,8.845755559,36005295926,52544483403,61314704757,-8770221354,4.353104635,4.353104635,0.872734041,0.945443872,0.044677528,0.92828704,0.753401113,58.93625517
2000,44.941605,28.66,4.00943591,3.840991157,41059061575,60878472821,65124245375,-4245772554,4.380810372,4.380810372,0.935376795,0.621873576,0.052630866,0.965084883,0.751831611,58.26524971
2001,47.18641417,24.46,3.779293122,4.823966266,49050841139,60963415577,65218276482,-4254860905,4.994946598,4.994946598,0.957207681,0.685425329,0.065207888,0.965010966,0.717041427,59.53735498
2002,48.61031917,24.99,4.297152039,3.803975321,71607865094,73452895952,78498759286,-5045863334,3.017616458,3.017616458,0.908084617,0.619480412,0.100706889,0.958577656,0.82905514,59.88376516
2003,46.58328417,28.85,3.805858995,7.860381476,1.03737E+11,90838575244,95071869379,-4233294135,4.169968506,-4.169968506,0.954687695,0.881737021,0.15126995,0.965186371,0.763775585,64.9204941
2004,45.31646667,38.26,3.767251735,7.922936612,1.31631E+11,1.26648E+11,1.39311E+11,-12663000000,2.719467986,-2.719467986,0.958349903,0.885781364,0.19516799,0.896626641,0.845944944,66.03942309
2005,44.099975,54.57,4.24634362,7.923430621,1.37825E+11,1.60838E+11,1.83737E+11,-22899000000,2.684436275,-2.684436275,0.912904202,0.885813302,0.204915765,0.813376121,0.847929454,63.59960682
2006,45.30700833,65.16,5.796523376,8.060732572,1.7805E+11,1.99974E+11,2.29955E+11,-29981000000,2.737038581,2.737038581,0.765857242,0.89469021,0.268219653,0.755777432,0.844949588,61.04606552
2007,41.34853333,72.44,6.372881356,7.660815067,2.76578E+11,2.53078E+11,3.02804E+11,-49726000000,8.737003713,-8.737003713,0.711185074,0.868834563,0.423277587,0.595189164,0.505057752,58.23704881
