Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,08-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141899441,1224022346,1321229050,1392737430,1458100559,1324284916,1316033520,1347128492,1432167598,1527994413,1816622905,1888111173,2005849162,2091921788,1906100559,1846245251,2233917877,2184788268,2241077260,2261604969,2079109510,2026504542,2136239440,2306963885,2384139106,1708907140,2085712922,2653499093,2938113155,3257796508,
Africa Eastern and Southern,AFE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50292505608,53840313158,50713974468,50794520944,58418272887,70673532977,72170432084,75031246032,72987232469,68056532484,74087298433,69175239266,73887244062,93069616164,1.19031E+11,1.44906E+11,1.70583E+11,2.11232E+11,2.56623E+11,2.231E+11,2.54009E+11,3.0394E+11,3.16243E+11,3.30755E+11,3.29277E+11,2.79425E+11,2.38741E+11,2.6831E+11,2.91011E+11,2.79923E+11,2.29922E+11,2.93472E+11,3.63759E+11,3.46592E+11,3.53911E+11,
Afghanistan,AFG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,37777780,44444446.67,51111111.11,126666717.8,144444451.1,215555548.9,259999993.3,237777784.4,208888900,211111117.8,208888900,295555548.9,288888877.8,255555562.2,320000000,337777777.8,380000006.7,437777795.6,457777788.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7241822542,5286118076,7901784706,8701650584,,
Africa Western and Central,AFW,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7110406405,8770763873,10621507095,15158700248,16288863668,26304660776,43121902047,41966880323,35449385343,43838125871,45817586149,47805328237,49972198759,29563627047,13386621550,17050137821,20293074054,19016585500,13399763094,17564145355,26319489923,22191419586,19552084465,
Albania,ALB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,371431589.5,403041958,460407913.8,405606072.3,372867132.9,362610722.6,336224987.5,335624987.5,408575012.5,483800000,487500000,314316659.7,627952433.9,764996711.8,773426124.2,809621698.5,1064684091,795639002,933614569.3,1097558438,1508343757,1771127115,2068787029,2591006000,3220867773,3853672282,4364190391,5867639980,6717539641,6004538202,5792187320,6700234561,5860879318,5999382666,6243003573,5070977325,5436220773,6070375897,6856194784,6926959713,5636282434,8016544326,9033376425,10320565554,11675880655,
Andorra,AND,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74626E+11,1.78921E+11,1.77014E+11,1.77738E+11,1.64393E+11,1.77664E+11,1.83015E+11,1.96016E+11,2.00264E+11,2.08471E+11,2.28444E+11,2.29202E+11,2.3657E+11,2.70286E+11,3.46772E+11,4.24861E+11,5.04047E+11,6.59466E+11,8.5072E+11,7.63006E+11,7.93196E+11,9.05877E+11,1.00874E+12,1.06567E+12,1.12174E+12,1.04346E+12,9.65621E+11,1.01198E+12,1.06095E+12,1.10032E+12,9.56783E+11,1.10008E+12,1.34754E+12,1.44241E+12,,
United Arab Emirates,ARE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42053369639,47845064670,57668073519,78428046290,93862491491,1.1293E+11,1.66134E+11,2.19714E+11,1.8714E+11,1.78611E+11,2.15973E+11,2.39749E+11,2.52509E+11,2.75111E+11,2.68999E+11,2.70715E+11,2.85337E+11,2.81536E+11,3.06004E+11,2.97228E+11,3.47529E+11,4.27992E+11,4.81852E+11,,
Argentina,ARG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1206418120,1206915602,1720750787,1441753153,1424602864,1176470539,1428571371,1212121237,1428571475,2000000041,1495789482,2199999959,2374999979,3000000102,4555555490,3135135021,3030000057,4159999873,5089538172,4383512571,4989980080,5800000171,5497685333,6068376037,5561048223,5529993736,6695427336,8243255952,7882225528,5041767786,6546497152,11531201154,18606116034,22049649650,27299960000,26038017000,30148400000,37413700000,38667300000,32762700000,33070146000,27603881800,13065823829,18772898619,27736672324,34392237787,40480743016,52567536062,66316154417,48268743530,67937933972,88838309449,78013690407,81240190817,73691675720,70064879912,75639254068,89910495567,85681309473,65845624691,52454091268,73042905138,96991607941,89980573298,80944817978,
