Year,Yearly_Change
1993,17.652572073893392
2012,14.499033634796943
1992,13.963545386372257
1998,13.62057730923878
2009,11.263217310984274
2013,9.657333975602356
1996,9.270328900110524
2022,6.340102474632525
2020,5.224664225970521
2008,5.215783550985753
2015,5.1162622341465624
2023,5.082134418178419
2018,5.018150679943734
2001,4.994946597924121
2016,4.744000163389606
2000,4.380810372024002
1999,4.353104634547811
2014,4.149758446869534
1995,3.357374944987823
2002,3.017616458139938
2019,2.9695705148972573
1994,2.887359093692754
2006,2.737038581087625
1997,2.4838658728170815
2011,2.065910929085102
2024,1.2954170738380677
2021,-0.24501365884366244
2005,-2.684436275357993
2004,-2.719467986363744
2017,-3.0861440676132834
2003,-4.16996850588669
2010,-5.535460775925527
2007,-8.737003712908798
1991,
